"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Bulgaria","BGR","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","139.19","143.19","141.71","153.35","164.25","177.12","189.41","196.3","191.27","189.77","200.33","208.61","212.65","217.11","227.31","245.03","246.71","253.54","268.28","270.11","277.96","287.5","296.87","304.1","305.82","312.99","307.77","305.31","308.01","295.93","254.19","236.4","209.95","177.22","178.61","187.12","173.53","184.6","194.84","188.44","112.14","122.13","115.42","123.56","122.7","123.67","114.31","112.52","111.39","108.91","107.75","105.66","104.65","100.12","99.37","100.51","97.29","91.24","89.46","88.62","91.34","89.23","","",
"Bahrain","BHR","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","2.78","2.85","2.84","2.79","3.37","3.26","3.44","2.95","3.48","3.78","3.24","3.69","4.39","4.53","6.52","7.36","7.76","9.05","10.86","12.25","9.51","12.85","11.64","13.81","15.81","14.63","19.58","12.26","13.41","12.75","15.26","17.78","19.75","14","13.28","14.08","21.94","20.37","22.01","26.43","21.34","21.92","19.84","17.35","19.01","19.78","22.09","22.47","28.01","24.39","40.1","63.26","86.43","81.31","98.77","119.93","147.84","139.56","140.73","129.89","128.38","134.41","","",
"Bahamas, The","BHS","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","26.7","27.45","29.06","31.17","34.51","37.92","38.56","38.84","32.23","29.73","31.45","30.34","35.04","34.61","29.3","58.02","50.08","41.44","33.82","33.33","47.49","42.69","41.47","43.71","46.77","44.83","52.13","52.9","57.61","57.42","48.18","54.07","52.55","45.58","78.6","104.69","86.44","129.76","126.01","70.09","74.33","75","87.07","87.8","89.12","88.86","88.16","89.2","93.96","95.46","99.92","93.9","95.54","98.46","99.59","101.95","100.63","97.93","96.84","94.09","91.86","92.34","","",
"Bosnia and Herzegovina","BIH","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.41","76.75","65.44","56.77","37.68","51.27","64.82","58.89","61.63","57.56","57.95","61.85","75.14","85.11","91.57","99.76","106.11","111.59","108.9","108.77","110.24","102.96","99.28","100.61","100.1","93.64","90.61","85.67","86.23","71.66","83.81","","",
"Belarus","BLR","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.28","85.37","80.72","72.23","68.59","69.63","72.11","67.72","62.19","65.94","64.48","62.54","66.61","74.03","78.86","80.5","83.31","90.05","92.13","92.51","96.23","98.74","95.47","101.82","102.72","104.92","105.87","106.41","111.03","110.96","109.93","","",
"Belize","BLZ","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","11.19","11.63","12.36","12.35","13","13.16","14.02","15.07","12.64","13.33","17.09","17.18","21.4","20.33","19.63","23.76","23.8","23.74","25.69","27.34","28.31","27.96","31.79","33.42","36.82","36.8","41.8","42.14","27.53","43.03","43.72","48.08","34.61","44.85","46.71","47.57","46.94","46.66","51.2","51.8","75.37","80.4","82.27","86.56","77.87","77.61","76.08","74.73","76.95","79.11","79.2","82.89","92.4","95.44","101.47","103.09","105.23","110.14","111.94","102.39","108.06","117.39","","",
"Bermuda","BMU","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","14.17","14.6","14.83","14.79","15.21","15.96","16.24","16.42","17.06","18.68","18.93","20.95","21.71","22.42","23.65","25.13","26.48","27.02","28.48","33.54","32.69","32.69","33.74","32.12","34.02","32.16","34.21","37.3","38.36","39.29","39.46","39.48","41.95","45.17","47.21","48.66","50.13","52.7","53.57","54.01","54.18","56.38","58.15","61.31","64.73","71.8","82.26","85.03","79.53","83.52","85.59","90.4","93.6","95.82","100.86","103.31","110.53","111.36","112.64","112.74","116.99","120.45","","",
"Brazil","BRA","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","10.99","11.2","11.32","12.14","12.81","12.85","13.15","14.39","15.12","15.46","15.36","16.82","17.65","17.49","18.73","20.31","20.52","21.59","22.88","25.37","26.21","26.54","27.44","28.06","28.92","30.2","31.77","34.22","35.34","35.8","39.11","41.1","42.49","44.97","49.53","52.91","53.09","53.99","58.61","61.22","63.44","67.54","70.4","75.66","77.91","81.13","84.76","87.42","87.14","90.64","92.6","94.47","97.96","99.96","100.23","99.81","102.87","104.55","107.03","107.63","108.55","112.15","","",
"Barbados","BRB","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","23.43","23.07","24.32","25.67","24.9","25.81","26.28","27.32","31.37","34.02","38.04","40.39","44.78","49.2","49.46","52.46","56.22","64.55","66.14","69.33","72.39","75.32","69.36","70.87","67.91","72.56","79.36","81.66","94.54","94.11","92.06","80.72","77.6","73.87","80.28","92.63","86.42","86.2","84.52","78.95","80.88","76.9","83.33","89.17","95.06","90.56","97.67","94.6","96.23","95.41","94.93","94.95","91.52","94.54","103.7","101.76","102.71","105.98","107.63","86.01","89.16","100.84","","",
